To-do	Keywords	Homonyms	Related gloss = related form or related meaning	VOORSTEL VOOR ANDERE GLOSS	NL gloss	EN gloss	Freq 25jun12	Aantal Signers 25jun12	1/2h	HS_Strong	HS_Weak	Location	Contact	Movement direction	Movement shape	Repetition	Alternating	AbsOri Palm	AbsOri Fingers	Relative orientation	Other phonology	Mouth	Overlapping mouth annotations	Phonetic variation	Background (region; language)	Remarks	IconicImage	Named entity
	[Used for signs of which you don't know the meaning but which you recognise as signs.]				??	??	1889	66	X																			
					*ABBE-DE-L'EPEE	*ABBE-DE-L'EPEE			1	geld		neu		voor	rotatie					vingers	eerste rotatie, dan naar voren							public figure
					*ADOLF-HITLER	*HITLER	1	1	1	N		bovenlip	eind							palm								public figure
					*ALBERT-KRUIJER	*ALBERT-KRUIJER			1	Swg		neu						voor										person
					*ANNEMARIE-BROUWER	*ANNEMARIE-BROUWER			1	5wg		neus	begin	voor						pink								person
					*ANNEMIEKE-VAN-KAMPEN	*ANNEMIEKE-VAN-KAMPEN			1	A		wang	continu		rotatie					palm	contact at duim							person
					*AUKE-KUITERT-A	*AUKE-KUITERT-A			1	C-spreid		hals ipsi		op				achter		duim								person
					*AUKE-KUITERT-B	*AUKE-KUITERT-B			2s	5 > O > 5	5 > O > 5	neu		neer	cirkel sagitaal	ja	ja			palm	eerst cirkel > neer							person
			BRIL		*BART-KOOLEN	*BART-KOOLEN			1	baby-C		oog	eind	achter	kort	ja					duim							person
					*BEA-BOUWMEESTER	*BEA-BOUWMEESTER			1	1		oog	brush	buiten	kort	ja				basis								person
			PRATEN-A		*BEP-KAMSTRA-POST	*BEP-KAMSTRA-POST			1	open-snavel > gesloten-snavel		mond				ja		binnen										person
					*BOTTIE-REITSMA	*BOTTIE-REITSMA			2s	S	S	neu	eind	binnen		ja				duim								person
			PRATEN-A		*BRAM-SCHOEMAKER-A	*BRAM-SCHOEMAKER-A			1	open-snavel > gesloten-snavel		mond				ja		voor										person
					*BRAM-SCHOEMAKER-B	*BRAM-SCHOEMAKER-B			1	B	B	neu			cirkel sagitaal	ja		voor	binnen									person
					*CAROLINA-VAN-DER-WAL	*CAROLINA-VAN-DER-WAL			1	B		hoofd			flexie	ja		neer	binnen									person
		BAKKEBAARD			*DAAN-FRUMEAU	*DAAN-FRUMEAU			1	baby-C		slaap	continu	neer														person
					*DENNIS-HOOGEVEEN	*DENNIS-HOOGEVEEN			1	1-krom		hoofd			cirkel sagitaal	ja		binnen	op									person
			VERBAASD-A		*ENGELIEN-KESTER-A	*ENGELIEN-KESTER-A			1	baby-gesloten-snavel > baby-open-snavel		hoofd		op	rotatie			voor	op	vingers								person
			VERBAASD-A		*ENGELIEN-KESTER-B	*ENGELIEN-KESTER-B			1	baby-gesloten-snavel > baby-open-snavel		hoofd						binnen	op									person
					*ERIK-JAN-WIJBENGA	*ERIK-JAN-WIJBENGA			1	C-spreid		hoofd	continu	achter	rotatie					duim								person
					*FROUKE-VAN-WINSUM	*FROUKE-VAN-WINSUM			1	F		hoofd		neer	zigzag					basis								person
					*GEA-POSTMA	*GEA-POSTMA			1	1 > 1-krom		kin	brush					achter	op									person
					*GERHARD-BOUWMEESTER	*GERHARD-BOUWMEESTER			1	open-T > T		oor				ja												person
					*HENNIE-KWAAKERNAAT-WAAIFOORT	*HENNIE-KWAAKERNAAT-WAAIFOORT			1	5		kin	continu	buiten						basis								person
		STAARTJE, NIMO-HERSI-B			*IRENE-BEHRENDT	*IRENE-BEHRENDT			1	S		hoofd	begin	neer	arc buiten					pink								person
					*JACQUELINE-KAUWEN	*JACQUELINE-KAUWEN			1	I		kin contra	continu	buiten	arc neer					duim								person
					*JAN-WILLEM-VAN-MANSVELT	*JAN-WILLEM-VAN-MANSVELT			1	J > open-snavel-spreid-2 > gesloten-snavel-2		neu > hoofd		> voor						pink								person
			WAT-A, BETEKENEN		*JELLE-KAMSTRA	*JELLE-KAMSTRA			1	1		neu		heen en weer				voor	op									person
					*JESSICA-TER-LINDEN	*JESSICA-TER-LINDEN			1	5		hoofd		neer	rotatie	ja				basis								person
			PAARD-A		*JOHAN-ROS	*JOHAN-ROS			1	Y		neu		voor en achter		ja				pink								person
					*LAURENT-CLERC	*LAURENT-CLERC			1	N		wang	brush	neer		ja				palm								public figure
			6-A		*LEONIE-BLOEM	*LEONIE-BLOEM			1	A		neu			rotatie	ja		binnen	voor									person
					*MARTINE-WATTEL	*MARTINE-WATTEL			2a	M	B	zwakke hand	begin	buiten	arc op					basis	contact at vingers							person
			LIEF-A		*MATTHIJS-TERPSTRA	*MATTHIJS-TERPSTRA			1	M		wang	continu	op						rug								person
			POLITIE-A		*MENEER-SCHIPPER	*MENEER-SCHIPPER			1	B		hoofd	eind			ja				duim								person
			KRULLEN		*MOUNIA-EL-ALAOUI-ISMAILI	*MOUNIA-EL-ALAOUI-ISMAILI			1	M		hoofd		neer	cirkel sagitaal													person
	(gebruik voor naamgebaar van onbekend persoon)				*NAAMGEBAAR	*NAME-SIGN	83	31	X																	Afgesproken glos voor naamgebaren van onbekenden.		person
			VERBAASD-A		*NIMO-HERSI-A	*NIMO-HERSI-A			1	O-2 > W 		oog						binnen	op									person
		STAARTJE, *IRENE-BEHRENDT			*NIMO-HERSI-B	*NIMO-HERSI-B			1	S		hoofd	begin	neer	arc buiten					pink								person
					*SANDRA-GRIFFIJN	*SANDRA-GRIFFIJN			1	S		neu		neer	zigzag					basis								person
					*SYLVESTER-A	*SYLVESTER-A	1	1	2s	S > 5	S > 5	gezicht		binnen	recht			achter		vingers	de handen kruisen elkaar							story character
		GALLAUDET			*THOMAS-GALLAUDET	*THOMAS-GALLAUDET	8	5	1	baby-open-snavel > baby-gesloten-snavel		oog		buiten						basis								public figure
		VOGEL-B, KIP-A			*TWEETY-A	*TWEETY-A	3	2	1	baby-open-snavel > baby-gesloten-snavel		mond				ja		voor										story character
					*WILL-HENDRIKS	*WILL-HENDRIKS			1	W		hoofd		achter	rotatie					duim								person
	okee				#OK	#OK	135	39	1	O > K		neu																
	(gebruik voor een gesture die niet in een gloss te vatten is)				%	%	85	19	X																			
		#O			0-A	0-A	6	5	1	O		neu																
					0-B	0-B	18	10	1	T		neu																
					0-C	0-C	2	2	1	baby-O		neu																
					1-A	1-A	679	64	1	1		neu						achter										
		6-A			1-B	1-B	2	2	1	A		neu																
	anderhalf				1,5	1,5	4	3	1	1 > 1-krom		neu				ja												
					1:OVERNEMEN	1:TAKE-OVER	3	3	2s	open-snavel > gesloten-snavel	open-snavel > gesloten-snavel	neu		voor	arc					basis								
weg: = 10-C --> regel 10C verwijderen, hier 2s invullen, en in corpus 10-C in 10-A veranderen					10-A	10-A	5	4	1	5		neu						voor						Ook 1h				
					10-B	10-B	23	15	2s	5	5	neu						achter										
					10-C	10-C	10	7	2s	5	5	neu						voor										
	honderd				100-A	100-A	43	16	1	open-snavel > gesloten-snavel		neu		buiten	recht													
	honderd				100-B	100-B	8	3	1	5		neu			flexie			voor		palm								
	duizend				1000-A	1000-A	12	8	1	1		neu		binnen	arc					pink								
	duizend				1000-B	1000-B	4	1	2a	B-hoek	B	zwakke hand	eind					binnen		vingers								
					11-A	11-A			1	A		neu			rotatie			neer		rug								
					11-B	11-B	21	13	1	open-snavel + wijsvinger uitgestoken > gesloten-snavel + wijsvinger uitgestoken		neu				ja									Groningen			
					11-C	11-C	5	3	1	1		neu		voor	cirkel sagitaal			binnen	voor									
					11-D	11-D	1	1	1	1		neu			extensie			neer		rug								
					12-A	12-A	1	1	1	L		neu			rotatie			neer		rug								
					12-B	12-B	22	16	1	open-5rx > 5rx		neu				ja									Groningen			
