To do	Meaning	Usage instruction	Homonyms	Related gloss = related form or related meaning	Suggestion for other gloss	NL gloss	EN gloss	Freq 25jun12	Aantal Signers 25jun12	Handedness	Handshape strong	Handshape change	Handshape weak	Relation between articulators	Location	Contact type	Movement direction	Movement shape	Movement manner	Repeated Movement	Alternating Movement	Absolute Orientation: palm	Absolute Orientation: Fingers	Relative orientation movement	Relative orientation location	Other phonology	Mouth gesture	Overlapping mouth annotations	Phonetic variation	Background (region; language)	Remarks	Iconic image	Named entity
						*JAN-WILLEM-VAN-MANSVELT	*JAN-WILLEM-VAN-MANSVELT			1	J + beak2	+ closing			neutral space > head		+ forward							pinkie									person
						*AUKE-KUITERT-B	*AUKE-KUITERT-B			2s	5	closing, opening	5		neutral space		> downwards	circle sagittal > straight		yes	yes			palm									person
						*ABBE-DE-L'EPEE	*ABBE-DE-L'EPEE			1	money				neutral space		> forwards	rotation > straight						tips									public figure
check location (chest?)	verantwoord, verantwoordelijkheid					VERANTWOORDELIJK	RESPONSIBLE			2s	V		V		shoulder		backwards							thumb		both hands on same side			N-hand; palm				
						JAM-A	MARMELADE-A	2	2	2a	B		B		weak hand	brush	backwards							palm		contact at finger							
						LAATSTE-A	LAST-A	12	8	2a	B		B		weak hand > arm	initial > final	backwards	arc								contact at pinkie			Oriëntatie van zwakke hand variabel; soms alleen beweging op hand, soms op arm.				
						LAATSTE-B	LAST-B	17	11	2a	Y		B		weak hand > arm	initial > final	backwards	arc								contact at pinkie			Oriëntatie van zwakke hand variabel; soms alleen beweging op hand, soms op arm.				
						VERZEKERING	INSURANCE			2a	S		B		weak hand	initial > final	backwards	arc						palm		contact at pinkie							
						RIJLES	DRIVING-LESSON			1	L				forehead	final	backwards							thumb		contact at thumb							
						STATION-B	STATION-B			1	baby-C				forehead	final	backwards		short	yes				thumb		contact at thumb							
check location (chest?)				OPSCHEPPEN-B		TROTS	PROUD			2s	5		5		shoulder	final	backwards							thumb		contact at thumb							
	verbazen, verbazing			SCHRIKKEN-A		VERBAASD-B	SURPRISED-B			1	5				chest	final	backwards			yes				palm		facial expressoin							
						FILE	TRAFFIC-JAM	4	2	2a	B		B	one hand behind the other	neutral space		backwards					downwards		basis									
check location (chest?)	vlug, snel					HAASTIG-B	HASTY-B			2s	B-relaxed		B-relaxed		shoulder		backwards		short	yes				thumb		tense movement?					Variant van HAASTIG-A, Groningen/oud		
	afschuwelijk, kotsen, overgeven, hekel hebben aan 					WALGELIJK-A	DISGUSTING-A	3	3	1	5				neck	final	backwards							thumb		thumb and index touch throat							
						VANGEN	CATCH			1	C-spread	closing a little			neutral space		backwards		short					back					Locative use				
